year,season,mean_temp
1850,fall,14.2641
1850,spring,13.9782
1850,summer,15.6302
1850,winter,12.2166
1851,fall,14.1541
1851,spring,14.1152
1851,summer,15.7735
1851,winter,12.5702
1852,fall,14.1881
1852,spring,13.8217
1852,summer,15.607
1852,winter,12.2838
1853,fall,14.1296
1853,spring,13.8944
1853,summer,15.5803
1853,winter,12.3844
1854,fall,14.0344
1854,spring,13.9462
1854,summer,15.4988
1854,winter,12.3501
1855,fall,13.9941
1855,spring,13.7404
1855,summer,15.4073
1855,winter,12.0791
1856,fall,14.1293
1856,spring,13.7644
1856,summer,15.6021
1856,winter,12.1632
1857,fall,14.1496
1857,spring,13.8814
1857,summer,15.6767
1857,winter,12.4247
1858,fall,14.0244
1858,spring,13.7517
1858,summer,15.6112
1858,winter,12.2
1859,fall,14.2253
1859,spring,13.9742
1859,summer,15.6845
1859,winter,12.2716
1860,fall,14.2189
1860,spring,14.133
1860,summer,15.7473
1860,winter,12.5718
1861,fall,14.1891
1861,spring,13.868
1861,summer,15.723
1861,winter,12.3747
1862,fall,14.3529
1862,spring,14.0266
1862,summer,15.6618
1862,winter,12.5863
1863,fall,14.3268
1863,spring,14.0079
1863,summer,15.8416
1863,winter,12.5503
1864,fall,14.2473
1864,spring,14.0631
1864,summer,15.7743
1864,winter,12.5107
1865,fall,14.2339
1865,spring,13.9444
1865,summer,15.6561
1865,winter,12.3704
1866,fall,14.1706
1866,spring,14.1659
1866,summer,15.6715
1866,winter,12.5253
1867,fall,14.0574
1867,spring,13.8662
1867,summer,15.6157
1867,winter,12.4547
1868,fall,14.0227
1868,spring,13.8784
1868,summer,15.5202
1868,winter,12.2755
1869,fall,14.1146
1869,spring,13.9043
1869,summer,15.6504
1869,winter,12.3335
1870,fall,14.0178
1870,spring,13.7768
1870,summer,15.5618
1870,winter,12.4016
1871,fall,14.1552
1871,spring,13.894
1871,summer,15.5373
1871,winter,12.3066
1872,fall,14.3795
1872,spring,14.0889
1872,summer,15.7733
1872,winter,12.5139
1873,fall,14.1784
1873,spring,14.1936
1873,summer,15.8068
1873,winter,12.6655
1874,fall,14.1383
1874,spring,13.8055
1874,summer,15.5205
1874,winter,12.2857
1875,fall,14.123
1875,spring,13.9999
1875,summer,15.6382
1875,winter,12.3812
1876,fall,14.1252
1876,spring,13.9582
1876,summer,15.5017
1876,winter,12.2161
1877,fall,14.299
1877,spring,13.963
1877,summer,15.615
1877,winter,12.3127
1878,fall,14.2609
1878,spring,14.0074
1878,summer,15.7076
1878,winter,12.3229
1879,fall,14.1809
1879,spring,14.1817
1879,summer,15.7101
1879,winter,12.5777
1880,fall,14.4098
1880,spring,14.1018
1880,summer,15.7786
1880,winter,12.3773
1881,fall,14.0771
1881,spring,14.1106
1881,summer,15.5836
1881,winter,12.6948
1882,fall,13.8858
1882,spring,13.7741
1882,summer,15.3752
1882,winter,12.1562
1883,fall,14.0741
1883,spring,14.0276
1883,summer,15.618
1883,winter,12.3281
1884,fall,14.1362
1884,spring,13.8423
1884,summer,15.4746
1884,winter,12.2374
1885,fall,13.8923
1885,spring,13.6849
1885,summer,15.383
1885,winter,12.2596
1886,fall,14.0308
1886,spring,13.8166
1886,summer,15.4521
1886,winter,12.0065
1887,fall,14.1375
1887,spring,13.9172
1887,summer,15.6342
1887,winter,12.1218
1888,fall,14.1088
1888,spring,14.0233
1888,summer,15.643
1888,winter,12.5172
1889,fall,13.9547
1889,spring,13.6633
1889,summer,15.3914
1889,winter,12.1313
1890,fall,14.1249
1890,spring,13.8064
1890,summer,15.4878
1890,winter,12.2139
1891,fall,14.3845
1891,spring,14.0094
1891,summer,15.8057
1891,winter,12.2235
1892,fall,14.0898
1892,spring,14.0406
1892,summer,15.5952
1892,winter,12.509
1893,fall,14.2147
1893,spring,13.9161
1893,summer,15.6954
1893,winter,12.423
1894,fall,14.2481
1894,spring,14.0208
1894,summer,15.7135
1894,winter,12.4183
1895,fall,14.1121
1895,spring,14.0146
1895,summer,15.645
1895,winter,12.3238
1896,fall,14.2214
1896,spring,13.9237
1896,summer,15.5836
1896,winter,12.4205
1897,fall,14.2279
1897,spring,13.9816
1897,summer,15.7318
1897,winter,12.3574
1898,fall,14.3339
1898,spring,13.9695
1898,summer,15.7071
1898,winter,12.3403
1899,fall,14.2062
1899,spring,14.0157
1899,summer,15.6663
1899,winter,12.481
1900,fall,14.2347
1900,spring,13.9888
1900,summer,15.7159
1900,winter,12.5696
1901,fall,14.362
1901,spring,13.9701
1901,summer,15.743
1901,winter,12.3322
1902,fall,14.2688
1902,spring,14.0967
1902,summer,15.6703
1902,winter,12.579
1903,fall,14.3044
1903,spring,13.9251
1903,summer,15.6107
1903,winter,12.5606
1904,fall,14.1545
1904,spring,14.2258
1904,summer,15.9113
1904,winter,12.567
1905,fall,14.244
1905,spring,14.0135
1905,summer,15.7399
1905,winter,12.2575
1906,fall,14.1596
1906,spring,14.1397
1906,summer,15.7621
1906,winter,12.4839
1907,fall,14.1856
1907,spring,14.0019
1907,summer,15.6771
1907,winter,12.4058
1908,fall,14.0818
1908,spring,13.9045
1908,summer,15.6384
1908,winter,12.4792
1909,fall,14.0482
1909,spring,13.9879
1909,summer,15.5587
1909,winter,12.3626
1910,fall,14.3337
1910,spring,14.0192
1910,summer,15.7374
1910,winter,12.3968
1911,fall,14.281
1911,spring,14.0254
1911,summer,15.732
1911,winter,12.6072
1912,fall,13.9567
1912,spring,13.8962
1912,summer,15.5623
1912,winter,12.3654
1913,fall,14.0705
1913,spring,13.7987
1913,summer,15.4938
1913,winter,12.2202
1914,fall,14.0432
1914,spring,13.9591
1914,summer,15.5349
1914,winter,12.2731
1915,fall,14.07
1915,spring,13.7732
1915,summer,15.4373
1915,winter,12.0862
1916,fall,14.0441
1916,spring,13.899
1916,summer,15.4779
1916,winter,12.1958
1917,fall,14.2159
1917,spring,13.9672
1917,summer,15.65
1917,winter,12.2185
1918,fall,14.2507
1918,spring,14.0165
1918,summer,15.7147
1918,winter,12.3672
1919,fall,14.1351
1919,spring,14.2249
1919,summer,15.6579
1919,winter,12.5951
1920,fall,14.2622
1920,spring,13.9716
1920,summer,15.6602
1920,winter,12.4265
1921,fall,14.3402
1921,spring,13.9281
1921,summer,15.7448
1921,winter,12.4593
1922,fall,14.1674
1922,spring,14.0556
1922,summer,15.6539
1922,winter,12.6403
1923,fall,14.3823
1923,spring,14.1039
1923,summer,15.7585
1923,winter,12.5192
1924,fall,14.3266
1924,spring,14.1752
1924,summer,15.6867
1924,winter,12.5939
1925,fall,14.3542
1925,spring,14.2385
1925,summer,15.8456
1925,winter,12.7049
1926,fall,14.22
1926,spring,14.091
1926,summer,15.7692
1926,winter,12.5164
1927,fall,14.4245
1927,spring,14.0221
1927,summer,15.7964
1927,winter,12.381
1928,fall,14.4946
1928,spring,14.2741
1928,summer,15.8872
1928,winter,12.8522
1929,fall,14.5094
1929,spring,14.2691
1929,summer,15.9604
1929,winter,12.5596
1930,fall,14.3121
1930,spring,14.3668
1930,summer,15.8537
1930,winter,12.9503
1931,fall,14.2252
1931,spring,13.9077
1931,summer,15.6083
1931,winter,12.3153
1932,fall,14.3908
1932,spring,14.0143
1932,summer,15.7596
1932,winter,12.5531
1933,fall,14.5016
1933,spring,14.2868
1933,summer,15.9768
1933,winter,12.6509
1934,fall,14.5489
1934,spring,14.2074
1934,summer,15.9136
1934,winter,12.6567
1935,fall,14.488
1935,spring,14.3962
1935,summer,16.0082
1935,winter,12.9015
1936,fall,14.458
1936,spring,14.2685
1936,summer,15.931
1936,winter,12.8147
1937,fall,14.3296
1937,spring,14.2145
1937,summer,15.9121
1937,winter,12.7201
1938,fall,14.2903
1938,spring,14.015
1938,summer,15.6825
1938,winter,12.6777
1939,fall,14.3666
1939,spring,14.1181
1939,summer,15.7115
1939,winter,12.5188
1940,fall,14.323
1940,spring,14.304
1940,summer,15.9219
1940,winter,12.8973
1941,fall,14.2727
1941,spring,13.9939
1941,summer,15.6371
1941,winter,12.5162
1942,fall,14.4716
1942,spring,14.2036
1942,summer,15.865
1942,winter,12.658
1943,fall,14.3616
1943,spring,14.1438
1943,summer,15.806
1943,winter,12.5421
1944,fall,14.2438
1944,spring,14.1167
1944,summer,15.7137
1944,winter,12.6229
1945,fall,14.4407
1945,spring,14.0026
1945,summer,15.8868
1945,winter,12.4656
1946,fall,14.2988
1946,spring,14.3873
1946,summer,15.8625
1946,winter,12.8213
1947,fall,14.0433
1947,spring,14.0566
1947,summer,15.6423
1947,winter,12.4919
1948,fall,13.9611
1948,spring,13.7433
1948,summer,15.5006
1948,winter,12.1999
1949,fall,14.2617
1949,spring,14.1644
1949,summer,15.7427
1949,winter,12.4194
1950,fall,14.2032
1950,spring,14.0321
1950,summer,15.7599
1950,winter,12.5315
1951,fall,14.3893
1951,spring,14.1696
1951,summer,15.7117
1951,winter,12.3686
1952,fall,14.4106
1952,spring,14.166
1952,summer,15.7797
1952,winter,12.8347
1953,fall,14.3426
1953,spring,14.3586
1953,summer,15.912
1953,winter,12.7115
1954,fall,14.3082
1954,spring,13.9256
1954,summer,15.6127
1954,winter,12.3166
1955,fall,14.3606
1955,spring,14.3578
1955,summer,15.8818
1955,winter,12.6746
1956,fall,14.3357
1956,spring,14.0932
1956,summer,15.692
1956,winter,12.5738
1957,fall,14.201
1957,spring,13.8953
1957,summer,15.5919
1957,winter,12.4582
1958,fall,14.49
1958,spring,14.1632
1958,summer,15.7799
1958,winter,12.5214
1959,fall,14.3445
1959,spring,14.399
1959,summer,15.9382
1959,winter,12.9461
1960,fall,14.3218
1960,spring,13.9087
1960,summer,15.6407
1960,winter,12.6544
1961,fall,14.2747
1961,spring,13.9699
1961,summer,15.6606
1961,winter,12.4981
1962,fall,14.3571
1962,spring,14.0514
1962,summer,15.7346
1962,winter,12.3111
1963,fall,14.2032
1963,spring,13.9882
1963,summer,15.5981
1963,winter,12.5168
1964,fall,14.3794
1964,spring,14.0552
1964,summer,15.7126
1964,winter,12.5034
1965,fall,14.1681
1965,spring,14.1218
1965,summer,15.5497
1965,winter,12.5209
1966,fall,14.0478
1966,spring,13.9797
1966,summer,15.3965
1966,winter,12.5296
1967,fall,14.2045
1967,spring,13.91
1967,summer,15.5714
1967,winter,12.3488
1968,fall,13.9671
1968,spring,14.0468
1968,summer,15.4192
