year,season,mean_temp
2015,winter,12.0342
2016,winter,12.1799
2017,winter,11.7192
2018,winter,11.9175
2019,winter,11.9558
2020,winter,11.9981
2021,winter,12.1448
2022,winter,12.2306
2023,winter,12.3738
2024,winter,12.1234
2025,winter,12.3121
2026,winter,12.5386
2027,winter,12.4047
2028,winter,12.2928
2029,winter,12.4558
2030,winter,12.6771
2031,winter,12.2667
2032,winter,12.4908
2033,winter,12.3255
2034,winter,12.3508
2035,winter,12.6129
2036,winter,12.6949
2037,winter,12.7507
2038,winter,12.6482
2039,winter,12.7708
2040,winter,12.7039
2041,winter,12.7775
2042,winter,12.4274
2043,winter,12.7656
2044,winter,12.7387
2045,winter,12.7167
2046,winter,12.9925
2047,winter,13.1307
2048,winter,12.9424
2049,winter,13.2725
2050,winter,12.9459
2051,winter,13.1317
2052,winter,13.3959
2053,winter,12.9703
2054,winter,13.118
2055,winter,13.1946
2056,winter,12.9477
2057,winter,13.0183
2058,winter,13.4238
2059,winter,13.0854
2060,winter,13.2375
2061,winter,13.3031
2062,winter,13.4318
2063,winter,13.1335
2064,winter,13.3497
2065,winter,13.5295
2066,winter,13.3703
2067,winter,13.2097
2068,winter,13.2957
2069,winter,13.2799
2070,winter,13.5407
2071,winter,13.614
2072,winter,13.5817
2073,winter,13.7721
2074,winter,13.6782
2075,winter,13.5018
2076,winter,13.7417
2077,winter,13.503
2078,winter,14.0387
2079,winter,13.699
2080,winter,13.7189
2081,winter,13.4231
2082,winter,13.5489
2083,winter,13.6086
2084,winter,13.8331
2085,winter,14.3689
2086,winter,13.7564
2087,winter,13.5963
2088,winter,14.3707
2089,winter,13.9457
2090,winter,13.8684
2091,winter,13.9707
2092,winter,14.3305
2093,winter,13.8876
2094,winter,13.7862
2095,winter,14.1259
2096,winter,14.0462
2097,winter,14.1583
2098,winter,14.1751
2099,winter,14.1746
2100,winter,13.8038
2101,winter,14.2067
2015,spring,13.729
2016,spring,13.8378
2017,spring,13.6474
2018,spring,13.7358
2019,spring,13.7609
2020,spring,13.8472
2021,spring,13.8182
2022,spring,13.91
2023,spring,14.0033
2024,spring,13.9509
2025,spring,14.1083
2026,spring,14.2916
2027,spring,14.0481
2028,spring,14.1038
2029,spring,14.2042
2030,spring,14.388
2031,spring,14.183
2032,spring,14.1675
2033,spring,14.054
2034,spring,14.2295
2035,spring,14.2475
2036,spring,14.4409
2037,spring,14.4386
2038,spring,14.3995
2039,spring,14.4815
2040,spring,14.3767
2041,spring,14.4753
2042,spring,14.2791
2043,spring,14.4289
2044,spring,14.4476
2045,spring,14.4268
2046,spring,14.8267
2047,spring,14.5743
2048,spring,14.7689
2049,spring,14.813
2050,spring,14.7407
2051,spring,14.7025
2052,spring,14.88
2053,spring,14.6435
2054,spring,14.7783
2055,spring,14.8507
2056,spring,14.5345
2057,spring,14.8054
2058,spring,15.0839
2059,spring,14.8325
2060,spring,14.9297
2061,spring,14.9526
2062,spring,15.1313
2063,spring,14.8649
2064,spring,14.9714
2065,spring,15.1651
2066,spring,15.2253
2067,spring,14.9102
2068,spring,14.9937
2069,spring,15.0378
2070,spring,15.1792
2071,spring,15.1507
2072,spring,15.2929
2073,spring,15.47
2074,spring,15.0866
2075,spring,15.1113
2076,spring,15.4517
2077,spring,15.2911
2078,spring,15.5482
2079,spring,15.2585
2080,spring,15.4166
2081,spring,15.1007
2082,spring,15.2147
2083,spring,15.3561
2084,spring,15.5415
2085,spring,15.8056
2086,spring,15.338
2087,spring,15.3794
2088,spring,15.813
2089,spring,15.4729
2090,spring,15.4992
2091,spring,15.6537
2092,spring,15.7008
2093,spring,15.441
2094,spring,15.4887
2095,spring,15.8003
2096,spring,15.7141
2097,spring,15.7084
2098,spring,15.7293
2099,spring,15.6672
2100,spring,15.6118
2015,summer,15.5186
2016,summer,15.5532
2017,summer,15.5215
2018,summer,15.6371
2019,summer,15.531
2020,summer,15.5701
2021,summer,15.734
2022,summer,15.7626
2023,summer,15.7436
