year,season,state_abbrev,state,mean_temp_c
1850,summer,AL,Alabama,24.7707
1850,summer,AK,Alaska,9.8546
1850,summer,AZ,Arizona,26.4716
1850,summer,AR,Arkansas,24.2934
1850,summer,CA,California,21.3629
1850,summer,CO,Colorado,18.8556
1850,summer,CT,Connecticut,18.8016
1850,summer,DE,Delaware,21.6418
1850,summer,FL,Florida,26.6222
1850,summer,GA,Georgia,24.9063
1850,summer,HI,Hawaii,24.1231
1850,summer,ID,Idaho,15.5909
1850,summer,IL,Illinois,20.9369
1850,summer,IN,Indiana,20.6885
1850,summer,IA,Iowa,19.7888
1850,summer,KS,Kansas,24.1339
1850,summer,KY,Kentucky,21.7709
1850,summer,LA,Louisiana,26.9193
1850,summer,ME,Maine,14.9138
1850,summer,MD,Maryland,20.1777
1850,summer,MA,Massachusetts,17.3179
1850,summer,MI,Michigan,17.6132
1850,summer,MN,Minnesota,17.1858
1850,summer,MS,Mississippi,25.9122
1850,summer,MO,Missouri,22.1936
1850,summer,MT,Montana,15.3079
1850,summer,NE,Nebraska,20.4953
1850,summer,NV,Nevada,20.3412
1850,summer,NH,New Hampshire,16.22
1850,summer,NJ,New Jersey,19.4267
1850,summer,NM,New Mexico,23.8804
1850,summer,NY,New York,16.7109
1850,summer,NC,North Carolina,22.0817
1850,summer,ND,North Dakota,17.6042
1850,summer,OH,Ohio,19.8098
1850,summer,OK,Oklahoma,26.9386
1850,summer,OR,Oregon,15.0232
1850,summer,PA,Pennsylvania,17.9348
1850,summer,SC,South Carolina,24.4712
1850,summer,SD,South Dakota,19.8314
1850,summer,TN,Tennessee,21.5776
1850,summer,TX,Texas,27.1253
1850,summer,UT,Utah,21.88
1850,summer,VT,Vermont,15.5043
1850,summer,VA,Virginia,21.11
1850,summer,WA,Washington,14.8104
1850,summer,WV,West Virginia,19.4319
1850,summer,WI,Wisconsin,17.8534
1850,summer,WY,Wyoming,16.1897
1850,winter,AL,Alabama,6.815
1850,winter,AK,Alaska,-23.7204
1850,winter,AZ,Arizona,3.8535
1850,winter,AR,Arkansas,3.422
1850,winter,CA,California,3.7597
1850,winter,CO,Colorado,-5.7651
1850,winter,CT,Connecticut,-3.1493
1850,winter,DE,Delaware,-0.3167
1850,winter,FL,Florida,12.9175
1850,winter,GA,Georgia,6.2965
1850,winter,HI,Hawaii,20.8611
1850,winter,ID,Idaho,-7.4453
1850,winter,IL,Illinois,-2.1467
1850,winter,IN,Indiana,-2.3723
1850,winter,IA,Iowa,-4.4363
1850,winter,KS,Kansas,0.7863
1850,winter,KY,Kentucky,0.5109
1850,winter,LA,Louisiana,9.9014
1850,winter,ME,Maine,-7.3592
1850,winter,MD,Maryland,-2.4316
1850,winter,MA,Massachusetts,-5.5899
1850,winter,MI,Michigan,-6.1671
1850,winter,MN,Minnesota,-10.4932
1850,winter,MS,Mississippi,7.5252
1850,winter,MO,Missouri,-0.7769
1850,winter,MT,Montana,-8.1161
1850,winter,NE,Nebraska,-2.713
1850,winter,NV,Nevada,-3.3762
1850,winter,NH,New Hampshire,-7.037
1850,winter,NJ,New Jersey,-2.3361
1850,winter,NM,New Mexico,1.2852
1850,winter,NY,New York,-6.6959
1850,winter,NC,North Carolina,1.6254
1850,winter,ND,North Dakota,-9.6246
1850,winter,OH,Ohio,-3.2625
1850,winter,OK,Oklahoma,4.0167
1850,winter,OR,Oregon,-2.0746
1850,winter,PA,Pennsylvania,-5.317
1850,winter,SC,South Carolina,5.1132
1850,winter,SD,South Dakota,-5.6873
1850,winter,TN,Tennessee,1.4588
1850,winter,TX,Texas,8.5559
1850,winter,UT,Utah,-5.302
1850,winter,VT,Vermont,-8.0413
1850,winter,VA,Virginia,-0.7114
1850,winter,WA,Washington,-3.3929
1850,winter,WV,West Virginia,-2.8375
1850,winter,WI,Wisconsin,-8.3212
1850,winter,WY,Wyoming,-8.0344
1851,summer,AL,Alabama,24.2101
1851,summer,AK,Alaska,9.1565
1851,summer,AZ,Arizona,25.8465
1851,summer,AR,Arkansas,24.6297
1851,summer,CA,California,21.8473
1851,summer,CO,Colorado,19.2278
1851,summer,CT,Connecticut,20.4965
1851,summer,DE,Delaware,23.3228
1851,summer,FL,Florida,26.8508
1851,summer,GA,Georgia,24.2031
1851,summer,HI,Hawaii,23.2703
1851,summer,ID,Idaho,15.5827
1851,summer,IL,Illinois,21.7882
1851,summer,IN,Indiana,21.5349
1851,summer,IA,Iowa,21.2903
1851,summer,KS,Kansas,26.2711
1851,summer,KY,Kentucky,22.3875
1851,summer,LA,Louisiana,26.4692
1851,summer,ME,Maine,16.1562
1851,summer,MD,Maryland,21.4093
1851,summer,MA,Massachusetts,18.7643
1851,summer,MI,Michigan,18.8506
1851,summer,MN,Minnesota,19.5363
1851,summer,MS,Mississippi,25.0254
1851,summer,MO,Missouri,23.18
1851,summer,MT,Montana,15.817
1851,summer,NE,Nebraska,24.3439
1851,summer,NV,Nevada,20.3521
1851,summer,NH,New Hampshire,17.5333
1851,summer,NJ,New Jersey,20.9579
1851,summer,NM,New Mexico,23.0191
1851,summer,NY,New York,18.2093
1851,summer,NC,North Carolina,22.5649
1851,summer,ND,North Dakota,19.6644
1851,summer,OH,Ohio,20.7835
1851,summer,OK,Oklahoma,27.7842
1851,summer,OR,Oregon,15.0207
1851,summer,PA,Pennsylvania,19.2972
1851,summer,SC,South Carolina,24.1676
1851,summer,SD,South Dakota,22.5821
1851,summer,TN,Tennessee,22.0197
1851,summer,TX,Texas,27.197
1851,summer,UT,Utah,21.6133
1851,summer,VT,Vermont,16.9042
1851,summer,VA,Virginia,22.1198
1851,summer,WA,Washington,14.5935
1851,summer,WV,West Virginia,20.1804
1851,summer,WI,Wisconsin,19.4668
1851,summer,WY,Wyoming,17.6809
1851,winter,AL,Alabama,5.3532
1851,winter,AK,Alaska,-18.4152
1851,winter,AZ,Arizona,3.9212
1851,winter,AR,Arkansas,2.7225
1851,winter,CA,California,4.9728
1851,winter,CO,Colorado,-5.4348
1851,winter,CT,Connecticut,-3.8715
1851,winter,DE,Delaware,-0.3596
1851,winter,FL,Florida,12.6285
1851,winter,GA,Georgia,5.3022
1851,winter,HI,Hawaii,20.6507
1851,winter,ID,Idaho,-5.9691
1851,winter,IL,Illinois,-2.8452
1851,winter,IN,Indiana,-2.8468
1851,winter,IA,Iowa,-5.2502
1851,winter,KS,Kansas,1.6917
1851,winter,KY,Kentucky,0.2189
1851,winter,LA,Louisiana,8.0107
1851,winter,ME,Maine,-9.7129
1851,winter,MD,Maryland,-2.3979
1851,winter,MA,Massachusetts,-7.006
1851,winter,MI,Michigan,-7.1901
1851,winter,MN,Minnesota,-10.9541
1851,winter,MS,Mississippi,5.8756
1851,winter,MO,Missouri,-0.8814
1851,winter,MT,Montana,-5.9565
1851,winter,NE,Nebraska,-1.4244
1851,winter,NV,Nevada,-2.2388
1851,winter,NH,New Hampshire,-8.8349
1851,winter,NJ,New Jersey,-2.6346
1851,winter,NM,New Mexico,0.9887
1851,winter,NY,New York,-7.1426
1851,winter,NC,North Carolina,1.7601
1851,winter,ND,North Dakota,-9.4229
1851,winter,OH,Ohio,-3.4783
1851,winter,OK,Oklahoma,4.16
1851,winter,OR,Oregon,-0.4689
1851,winter,PA,Pennsylvania,-5.1504
1851,winter,SC,South Carolina,4.9552
1851,winter,SD,South Dakota,-5.3714
1851,winter,TN,Tennessee,0.9618
1851,winter,TX,Texas,7.3638
1851,winter,UT,Utah,-5.5189
1851,winter,VT,Vermont,-9.767
1851,winter,VA,Virginia,-0.5495
1851,winter,WA,Washington,-1.2628
1851,winter,WV,West Virginia,-2.754
1851,winter,WI,Wisconsin,-9.227
1851,winter,WY,Wyoming,-6.7963
1852,summer,AL,Alabama,24.2456
1852,summer,AK,Alaska,8.8998
1852,summer,AZ,Arizona,25.9271
1852,summer,AR,Arkansas,24.9787
1852,summer,CA,California,21.155
1852,summer,CO,Colorado,18.6425
1852,summer,CT,Connecticut,19.2238
1852,summer,DE,Delaware,21.902
1852,summer,FL,Florida,26.8049
1852,summer,GA,Georgia,23.673
1852,summer,HI,Hawaii,23.4277
1852,summer,ID,Idaho,16.2317
1852,summer,IL,Illinois,22.1596
1852,summer,IN,Indiana,21.5384
1852,summer,IA,Iowa,21.5215
1852,summer,KS,Kansas,25.892
1852,summer,KY,Kentucky,22.6993
1852,summer,LA,Louisiana,26.7901
1852,summer,ME,Maine,16.0397
1852,summer,MD,Maryland,20.289
1852,summer,MA,Massachusetts,17.9475
1852,summer,MI,Michigan,18.4083
1852,summer,MN,Minnesota,19.3108
1852,summer,MS,Mississippi,25.2556
1852,summer,MO,Missouri,23.7773
1852,summer,MT,Montana,17.6304
1852,summer,NE,Nebraska,22.8692
1852,summer,NV,Nevada,20.8534
1852,summer,NH,New Hampshire,17.218
1852,summer,NJ,New Jersey,19.6679
1852,summer,NM,New Mexico,22.6323
1852,summer,NY,New York,17.5862
1852,summer,NC,North Carolina,22.0382
1852,summer,ND,North Dakota,20.5027
1852,summer,OH,Ohio,20.2205
1852,summer,OK,Oklahoma,27.3004
1852,summer,OR,Oregon,14.4957
1852,summer,PA,Pennsylvania,18.3134
1852,summer,SC,South Carolina,23.7548
1852,summer,SD,South Dakota,23.0424
1852,summer,TN,Tennessee,22.2872
1852,summer,TX,Texas,27.4917
1852,summer,UT,Utah,22.0321
1852,summer,VT,Vermont,16.6081
1852,summer,VA,Virginia,21.1282
1852,summer,WA,Washington,14.0597
1852,summer,WV,West Virginia,19.6356
1852,summer,WI,Wisconsin,19.202
1852,summer,WY,Wyoming,18.7221
1852,winter,AL,Alabama,6.1779
1852,winter,AK,Alaska,-22.0261
1852,winter,AZ,Arizona,4.1143
1852,winter,AR,Arkansas,4.5713
1852,winter,CA,California,4.1596
1852,winter,CO,Colorado,-4.1218
1852,winter,CT,Connecticut,-1.6184
1852,winter,DE,Delaware,1.6162
1852,winter,FL,Florida,12.2484
1852,winter,GA,Georgia,5.4387
1852,winter,HI,Hawaii,20.0196
1852,winter,ID,Idaho,-4.6457
1852,winter,IL,Illinois,-0.1198
1852,winter,IN,Indiana,-0.0829
1852,winter,IA,Iowa,-1.8586
1852,winter,KS,Kansas,2.0914
1852,winter,KY,Kentucky,2.1044
1852,winter,LA,Louisiana,9.3096
1852,winter,ME,Maine,-6.3969
1852,winter,MD,Maryland,-0.2922
1852,winter,MA,Massachusetts,-4.3581
1852,winter,MI,Michigan,-3.0555
1852,winter,MN,Minnesota,-6.0005
1852,winter,MS,Mississippi,7.2351
1852,winter,MO,Missouri,1.0651
1852,winter,MT,Montana,-4.3234
1852,winter,NE,Nebraska,-0.0394
1852,winter,NV,Nevada,-2.4131
1852,winter,NH,New Hampshire,-6.2373
1852,winter,NJ,New Jersey,-0.6025
1852,winter,NM,New Mexico,2.0121
1852,winter,NY,New York,-5.2675
1852,winter,NC,North Carolina,2.7673
1852,winter,ND,North Dakota,-5.2101
1852,winter,OH,Ohio,-1.0768
1852,winter,OK,Oklahoma,5.3356
1852,winter,OR,Oregon,-0.0247
1852,winter,PA,Pennsylvania,-3.1011
1852,winter,SC,South Carolina,5.2915
1852,winter,SD,South Dakota,-2.0108
1852,winter,TN,Tennessee,2.3545
1852,winter,TX,Texas,9.4851
1852,winter,UT,Utah,-3.7614
1852,winter,VT,Vermont,-7.2391
1852,winter,VA,Virginia,1.2399
1852,winter,WA,Washington,-0.09
1852,winter,WV,West Virginia,-0.8733
1852,winter,WI,Wisconsin,-3.901
1852,winter,WY,Wyoming,-5.2574
1853,summer,AL,Alabama,24.4181
1853,summer,AK,Alaska,9.8634
1853,summer,AZ,Arizona,26.0795
1853,summer,AR,Arkansas,24.9729
1853,summer,CA,California,21.2711
1853,summer,CO,Colorado,18.2629
1853,summer,CT,Connecticut,19.8008
1853,summer,DE,Delaware,22.582
1853,summer,FL,Florida,26.4921
1853,summer,GA,Georgia,23.7636
1853,summer,HI,Hawaii,23.8426
1853,summer,ID,Idaho,14.4955
1853,summer,IL,Illinois,20.8191
1853,summer,IN,Indiana,20.7809
1853,summer,IA,Iowa,19.0726
1853,summer,KS,Kansas,24.0903
1853,summer,KY,Kentucky,22.0406
1853,summer,LA,Louisiana,26.8249
1853,summer,ME,Maine,16.068
1853,summer,MD,Maryland,20.6612
1853,summer,MA,Massachusetts,18.2238
1853,summer,MI,Michigan,17.2404
1853,summer,MN,Minnesota,16.6854
1853,summer,MS,Mississippi,25.3235
1853,summer,MO,Missouri,21.9864
1853,summer,MT,Montana,14.4518
1853,summer,NE,Nebraska,19.4926
1853,summer,NV,Nevada,19.5493
1853,summer,NH,New Hampshire,17.2988
1853,summer,NJ,New Jersey,20.1467
1853,summer,NM,New Mexico,24.1939
1853,summer,NY,New York,17.3716
1853,summer,NC,North Carolina,22.1295
1853,summer,ND,North Dakota,16.9627
1853,summer,OH,Ohio,20.0917
1853,summer,OK,Oklahoma,28.1512
1853,summer,OR,Oregon,14.3496
1853,summer,PA,Pennsylvania,18.3974
1853,summer,SC,South Carolina,23.8573
1853,summer,SD,South Dakota,18.5083
1853,summer,TN,Tennessee,21.9732
1853,summer,TX,Texas,29.1518
1853,summer,UT,Utah,21.108
1853,summer,VT,Vermont,16.5449
1853,summer,VA,Virginia,21.5151
1853,summer,WA,Washington,14.1866
1853,summer,WV,West Virginia,19.6139
1853,summer,WI,Wisconsin,17.1854
1853,summer,WY,Wyoming,15.6063
1853,winter,AL,Alabama,6.1333
1853,winter,AK,Alaska,-15.5899
1853,winter,AZ,Arizona,5.0043
1853,winter,AR,Arkansas,3.4246
1853,winter,CA,California,5.5654
1853,winter,CO,Colorado,-4.3998
1853,winter,CT,Connecticut,-3.0433
1853,winter,DE,Delaware,0.6749
1853,winter,FL,Florida,13.7299
1853,winter,GA,Georgia,5.928
1853,winter,HI,Hawaii,20.3093
1853,winter,ID,Idaho,-5.1408
1853,winter,IL,Illinois,-2.3094
1853,winter,IN,Indiana,-2.026
1853,winter,IA,Iowa,-4.3743
1853,winter,KS,Kansas,1.6167
1853,winter,KY,Kentucky,0.684
