year,season,state_abbrev,state,mean_temp_c
2015,summer,AL,Alabama,25.088
2015,summer,AK,Alaska,10.2638
2015,summer,AZ,Arizona,25.9724
2015,summer,AR,Arkansas,25.716
2015,summer,CA,California,21.2585
2015,summer,CO,Colorado,17.6911
2015,summer,CT,Connecticut,20.3601
2015,summer,DE,Delaware,23.3355
2015,summer,FL,Florida,26.1972
2015,summer,GA,Georgia,24.5575
2015,summer,HI,Hawaii,23.9031
2015,summer,ID,Idaho,14.5288
2015,summer,IL,Illinois,22.9246
2015,summer,IN,Indiana,22.3818
2015,summer,IA,Iowa,22.2691
2015,summer,KS,Kansas,24.5431
2015,summer,KY,Kentucky,23.8685
2015,summer,LA,Louisiana,26.548
2015,summer,ME,Maine,18.1222
2015,summer,MD,Maryland,22.2188
2015,summer,MA,Massachusetts,19.6768
2015,summer,MI,Michigan,19.5027
2015,summer,MN,Minnesota,19.6078
2015,summer,MS,Mississippi,25.5312
2015,summer,MO,Missouri,24.0311
2015,summer,MT,Montana,15.8043
2015,summer,NE,Nebraska,22.2373
2015,summer,NV,Nevada,19.0001
2015,summer,NH,New Hampshire,19.0438
2015,summer,NJ,New Jersey,21.5304
2015,summer,NM,New Mexico,22.4111
2015,summer,NY,New York,19.2583
2015,summer,NC,North Carolina,23.5878
2015,summer,ND,North Dakota,19.4003
2015,summer,OH,Ohio,21.6506
2015,summer,OK,Oklahoma,25.9923
2015,summer,OR,Oregon,14.7255
2015,summer,PA,Pennsylvania,19.9358
2015,summer,SC,South Carolina,24.7279
2015,summer,SD,South Dakota,21.5083
2015,summer,TN,Tennessee,23.5847
2015,summer,TX,Texas,27.9453
2015,summer,UT,Utah,20.4606
2015,summer,VT,Vermont,18.5458
2015,summer,VA,Virginia,23.4818
2015,summer,WA,Washington,14.9429
2015,summer,WV,West Virginia,21.6242
2015,summer,WI,Wisconsin,20.1679
2015,summer,WY,Wyoming,16.3481
2015,winter,AL,Alabama,9.3932
2015,winter,AK,Alaska,-22.9356
2015,winter,AZ,Arizona,4.8002
2015,winter,AR,Arkansas,5.7938
2015,winter,CA,California,4.9819
2015,winter,CO,Colorado,-4.0345
2015,winter,CT,Connecticut,0.3757
2015,winter,DE,Delaware,3.5681
2015,winter,FL,Florida,15.4354
2015,winter,GA,Georgia,9.2712
2015,winter,HI,Hawaii,21.6526
2015,winter,ID,Idaho,-6.0702
2015,winter,IL,Illinois,-0.1972
2015,winter,IN,Indiana,0.4091
2015,winter,IA,Iowa,-3.4419
2015,winter,KS,Kansas,1.5298
2015,winter,KY,Kentucky,3.385
2015,winter,LA,Louisiana,11.2499
2015,winter,ME,Maine,-5.632
2015,winter,MD,Maryland,1.9931
2015,winter,MA,Massachusetts,-2.1984
2015,winter,MI,Michigan,-3.4323
2015,winter,MN,Minnesota,-7.3429
2015,winter,MS,Mississippi,9.6842
2015,winter,MO,Missouri,0.9727
2015,winter,MT,Montana,-6.4672
2015,winter,NE,Nebraska,-2.4108
2015,winter,NV,Nevada,-1.7063
2015,winter,NH,New Hampshire,-3.8621
2015,winter,NJ,New Jersey,1.4805
2015,winter,NM,New Mexico,1.8034
2015,winter,NY,New York,-3.2314
2015,winter,NC,North Carolina,5.8702
2015,winter,ND,North Dakota,-6.389
2015,winter,OH,Ohio,0.1798
2015,winter,OK,Oklahoma,5.2378
2015,winter,OR,Oregon,-1.5275
2015,winter,PA,Pennsylvania,-1.0423
2015,winter,SC,South Carolina,9.1132
2015,winter,SD,South Dakota,-4.7093
2015,winter,TN,Tennessee,4.5395
2015,winter,TX,Texas,8.2578
2015,winter,UT,Utah,-3.3174
2015,winter,VT,Vermont,-5.1258
2015,winter,VA,Virginia,3.8143
2015,winter,WA,Washington,-2.8731
2015,winter,WV,West Virginia,1.4906
2015,winter,WI,Wisconsin,-5.2115
2015,winter,WY,Wyoming,-6.4149
2016,summer,AL,Alabama,25.326
2016,summer,AK,Alaska,8.7937
2016,summer,AZ,Arizona,28.1338
2016,summer,AR,Arkansas,26.0861
2016,summer,CA,California,23.2726
2016,summer,CO,Colorado,20.7124
2016,summer,CT,Connecticut,20.5105
2016,summer,DE,Delaware,22.9214
2016,summer,FL,Florida,27.3008
2016,summer,GA,Georgia,24.484
2016,summer,HI,Hawaii,24.0536
2016,summer,ID,Idaho,17.954
2016,summer,IL,Illinois,22.9685
2016,summer,IN,Indiana,22.2715
2016,summer,IA,Iowa,22.5546
2016,summer,KS,Kansas,27.1576
