year,season,country,mean_temp
1850,fall,United States of America,11.998
1850,spring,United States of America,10.7621
1850,summer,United States of America,22.1761
1850,winter,United States of America,-1.7755
1851,fall,United States of America,12.8469
1851,spring,United States of America,9.6865
1851,summer,United States of America,22.6196
1851,winter,United States of America,-2.402
1852,fall,United States of America,12.7134
1852,spring,United States of America,10.7918
1852,summer,United States of America,22.6054
1852,winter,United States of America,-0.5463
1853,fall,United States of America,11.9575
1853,spring,United States of America,9.8461
1853,summer,United States of America,22.9584
1853,winter,United States of America,-2.4224
1854,fall,United States of America,11.5661
1854,spring,United States of America,10.1315
1854,summer,United States of America,22.7011
1854,winter,United States of America,-1.5456
1855,fall,United States of America,12.2817
1855,spring,United States of America,9.4151
1855,summer,United States of America,22.5021
1855,winter,United States of America,-1.7323
1856,fall,United States of America,12.1045
1856,spring,United States of America,9.3785
1856,summer,United States of America,22.481
1856,winter,United States of America,-0.8328
1857,fall,United States of America,12.347
1857,spring,United States of America,8.5536
1857,summer,United States of America,22.4805
1857,winter,United States of America,-1.5939
1858,fall,United States of America,12.7726
1858,spring,United States of America,8.1815
1858,summer,United States of America,22.6447
1858,winter,United States of America,-1.8532
1859,fall,United States of America,11.4719
1859,spring,United States of America,10.2975
1859,summer,United States of America,23.1371
1859,winter,United States of America,-1.2565
1860,fall,United States of America,11.7716
1860,spring,United States of America,9.1281
1860,summer,United States of America,22.0372
1860,winter,United States of America,-2.3235
1861,fall,United States of America,12.6438
1861,spring,United States of America,10.622
1861,summer,United States of America,22.8406
1861,winter,United States of America,-0.2973
1862,fall,United States of America,11.9466
1862,spring,United States of America,10.8722
1862,summer,United States of America,22.1758
1862,winter,United States of America,-0.1044
1863,fall,United States of America,11.9323
1863,spring,United States of America,9.6565
1863,summer,United States of America,22.4554
1863,winter,United States of America,-2.1068
1864,fall,United States of America,12.832
1864,spring,United States of America,9.4555
1864,summer,United States of America,22.5175
1864,winter,United States of America,-2.8396
1865,fall,United States of America,12.7803
1865,spring,United States of America,9.2553
1865,summer,United States of America,22.7022
1865,winter,United States of America,-1.0477
1866,fall,United States of America,12.4576
1866,spring,United States of America,9.448
1866,summer,United States of America,21.9966
1866,winter,United States of America,-0.0225
1867,fall,United States of America,11.4519
1867,spring,United States of America,8.8818
1867,summer,United States of America,22.7306
1867,winter,United States of America,-1.5991
1868,fall,United States of America,11.851
1868,spring,United States of America,8.7775
1868,summer,United States of America,22.5309
1868,winter,United States of America,-0.8036
1869,fall,United States of America,12.6486
1869,spring,United States of America,9.4282
1869,summer,United States of America,22.6883
1869,winter,United States of America,-1.543
1870,fall,United States of America,12.599
1870,spring,United States of America,9.4352
1870,summer,United States of America,22.1548
1870,winter,United States of America,-1.0233
1871,fall,United States of America,12.0751
1871,spring,United States of America,10.1016
1871,summer,United States of America,22.9843
1871,winter,United States of America,0.8435
1872,fall,United States of America,12.0333
1872,spring,United States of America,10.3791
1872,summer,United States of America,22.7591
1872,winter,United States of America,-0.5009
1873,fall,United States of America,12.4868
1873,spring,United States of America,10.9218
1873,summer,United States of America,22.6997
1873,winter,United States of America,-0.9234
1874,fall,United States of America,12.2599
1874,spring,United States of America,9.3252
1874,summer,United States of America,22.2701
1874,winter,United States of America,-0.5425
1875,fall,United States of America,12.3924
1875,spring,United States of America,10.4377
1875,summer,United States of America,23.0034
1875,winter,United States of America,-2.8874
1876,fall,United States of America,12.6437
1876,spring,United States of America,9.9179
1876,summer,United States of America,22.12
1876,winter,United States of America,-1.8358
1877,fall,United States of America,12.5257
1877,spring,United States of America,8.4259
1877,summer,United States of America,22.205
1877,winter,United States of America,-1.6306
1878,fall,United States of America,11.4527
1878,spring,United States of America,9.7734
1878,summer,United States of America,22.6088
1878,winter,United States of America,-1.3901
1879,fall,United States of America,11.8385
1879,spring,United States of America,11.1543
1879,summer,United States of America,22.4207
1879,winter,United States of America,0.4775
1880,fall,United States of America,12.1882
1880,spring,United States of America,10.066
1880,summer,United States of America,22.8826
1880,winter,United States of America,-1.2602
