year,season,country,mean_temp
2015,winter,United States of America,-2.7714
2016,winter,United States of America,-3.4052
2017,winter,United States of America,-4.2428
2018,winter,United States of America,-2.8885
2019,winter,United States of America,-1.7394
2020,winter,United States of America,-3.0152
2021,winter,United States of America,-2.1296
2022,winter,United States of America,-1.8263
2023,winter,United States of America,-1.3054
2024,winter,United States of America,-3.0
2025,winter,United States of America,-0.8864
2026,winter,United States of America,-1.9104
2027,winter,United States of America,-3.1067
2028,winter,United States of America,-2.1527
2029,winter,United States of America,-3.0362
2030,winter,United States of America,-1.8237
2031,winter,United States of America,-2.2215
2032,winter,United States of America,-2.0127
2033,winter,United States of America,-2.3139
2034,winter,United States of America,-2.7314
2035,winter,United States of America,-1.1031
2036,winter,United States of America,-0.3542
2037,winter,United States of America,-1.2379
2038,winter,United States of America,-2.5786
2039,winter,United States of America,-0.4209
2040,winter,United States of America,-1.0601
2041,winter,United States of America,-2.0609
2042,winter,United States of America,-1.0723
2043,winter,United States of America,1.1027
2044,winter,United States of America,-1.7086
2045,winter,United States of America,-0.1653
2046,winter,United States of America,-2.5267
2047,winter,United States of America,-1.8535
2048,winter,United States of America,-0.8668
2049,winter,United States of America,0.079
2050,winter,United States of America,0.0873
2051,winter,United States of America,0.1434
2052,winter,United States of America,-1.1813
2053,winter,United States of America,-0.5921
2054,winter,United States of America,-0.5635
2055,winter,United States of America,-0.4478
2056,winter,United States of America,-0.6561
2057,winter,United States of America,-1.2161
2058,winter,United States of America,0.3138
2059,winter,United States of America,-0.7859
2060,winter,United States of America,-0.1511
2061,winter,United States of America,0.7748
2062,winter,United States of America,0.3505
2063,winter,United States of America,-0.1671
2064,winter,United States of America,0.8405
2065,winter,United States of America,-1.0884
2066,winter,United States of America,0.2472
2067,winter,United States of America,-0.7618
2068,winter,United States of America,-0.7115
2069,winter,United States of America,-0.2914
2070,winter,United States of America,-0.3069
2071,winter,United States of America,-0.0873
2072,winter,United States of America,0.8477
2073,winter,United States of America,-0.0741
2074,winter,United States of America,-0.2294
2075,winter,United States of America,0.2184
2076,winter,United States of America,0.6581
2077,winter,United States of America,-0.4213
2078,winter,United States of America,0.4391
2079,winter,United States of America,-0.8892
2080,winter,United States of America,-0.4241
2081,winter,United States of America,0.3778
2082,winter,United States of America,-0.3834
2083,winter,United States of America,0.1663
2084,winter,United States of America,1.2539
2085,winter,United States of America,1.2477
2086,winter,United States of America,0.2312
2087,winter,United States of America,-0.5167
2088,winter,United States of America,0.3312
2089,winter,United States of America,0.2599
2090,winter,United States of America,1.0415
2091,winter,United States of America,1.5874
2092,winter,United States of America,0.4945
2093,winter,United States of America,0.7006
2094,winter,United States of America,0.4277
2095,winter,United States of America,0.0442
2096,winter,United States of America,-0.4634
2097,winter,United States of America,1.4755
2098,winter,United States of America,1.2931
2099,winter,United States of America,0.6973
2100,winter,United States of America,-0.0015
2101,winter,United States of America,-0.5188
2015,spring,United States of America,6.5072
2016,spring,United States of America,7.6338
2017,spring,United States of America,6.6694
2018,spring,United States of America,7.8237
2019,spring,United States of America,7.9048
2020,spring,United States of America,7.2002
2021,spring,United States of America,7.6025
2022,spring,United States of America,7.7159
2023,spring,United States of America,8.9548
2024,spring,United States of America,6.7776
2025,spring,United States of America,8.5688
2026,spring,United States of America,7.7985
2027,spring,United States of America,7.963
2028,spring,United States of America,7.965
2029,spring,United States of America,8.7247
2030,spring,United States of America,9.1574
2031,spring,United States of America,7.5867
2032,spring,United States of America,7.645
2033,spring,United States of America,6.2369
2034,spring,United States of America,7.4862
