year,country,mean_temp
1850,Afghanistan,12.582965254582348
1851,Afghanistan,12.495190160244817
1852,Afghanistan,12.449598255283433
1853,Afghanistan,13.323635785608246
1854,Afghanistan,11.753554135289392
1855,Afghanistan,12.385518411094267
1856,Afghanistan,12.151343216647092
1857,Afghanistan,13.406711230345877
1858,Afghanistan,12.874348721715478
1859,Afghanistan,12.916422214453632
1860,Afghanistan,12.962383969629855
1861,Afghanistan,12.023777399277378
1862,Afghanistan,12.465624165030079
1863,Afghanistan,12.448662314183025
1864,Afghanistan,12.927798474713711
1865,Afghanistan,12.783967893256033
1866,Afghanistan,12.8590417440941
1867,Afghanistan,12.71146719841073
1868,Afghanistan,12.369162160099222
1869,Afghanistan,13.108936608130193
1870,Afghanistan,12.108470836742583
1871,Afghanistan,11.766035503793944
1872,Afghanistan,12.747285044281341
1873,Afghanistan,12.641697826519362
1874,Afghanistan,13.429326387483115
1875,Afghanistan,13.041674120098833
1876,Afghanistan,13.042277723054383
1877,Afghanistan,12.322865100948945
1878,Afghanistan,12.72342034749505
1879,Afghanistan,13.182032380842884
1880,Afghanistan,12.658645150830012
1881,Afghanistan,13.245114032363517
1882,Afghanistan,12.826337260319065
1883,Afghanistan,12.684371194292453
1884,Afghanistan,12.215621905899638
1885,Afghanistan,11.567175257821532
1886,Afghanistan,12.486857281900939
1887,Afghanistan,12.414285328054063
1888,Afghanistan,12.81275868484579
1889,Afghanistan,12.633211820563076
1890,Afghanistan,13.846524598223994
1891,Afghanistan,12.759840571598716
1892,Afghanistan,12.389953133564063
1893,Afghanistan,12.99586868723702
1894,Afghanistan,13.065139002923104
1895,Afghanistan,13.38107288366649
1896,Afghanistan,13.845616140743005
1897,Afghanistan,12.420123428228862
1898,Afghanistan,12.418914307373598
1899,Afghanistan,13.867843619945916
1900,Afghanistan,12.902180560750367
1901,Afghanistan,12.633171967745625
1902,Afghanistan,12.728365448755142
1903,Afghanistan,12.290023228449911
1904,Afghanistan,11.846479812392829
1905,Afghanistan,11.569364841008735
1906,Afghanistan,12.445732221835215
1907,Afghanistan,12.116329114288874
1908,Afghanistan,12.736077959773866
1909,Afghanistan,12.800568817340604
1910,Afghanistan,12.712875532263467
1911,Afghanistan,13.486033701782162
1912,Afghanistan,11.960102137767933
1913,Afghanistan,12.297069214697615
1914,Afghanistan,13.423870795865412
1915,Afghanistan,12.35904305162552
1916,Afghanistan,12.500842294696156
1917,Afghanistan,12.064596685596939
1918,Afghanistan,12.866920257683148
1919,Afghanistan,13.543100439266993
1920,Afghanistan,12.4885907755272
1921,Afghanistan,11.824598736243843
1922,Afghanistan,12.379006597835769
1923,Afghanistan,12.854653617770282
1924,Afghanistan,12.504470495960788
1925,Afghanistan,12.298832422134069
1926,Afghanistan,12.84385897962619
1927,Afghanistan,12.647191600294718
1928,Afghanistan,13.070667332658445
1929,Afghanistan,12.9537908465864
1930,Afghanistan,13.553344205321707
1931,Afghanistan,12.995624197542213
1932,Afghanistan,14.00914433013412
1933,Afghanistan,13.391110785642468
1934,Afghanistan,12.556923732528332
1935,Afghanistan,13.024899348834083
1936,Afghanistan,13.620352213480203
1937,Afghanistan,12.83899799090392
1938,Afghanistan,13.00210889246955
1939,Afghanistan,13.344500939125453
1940,Afghanistan,13.41006562042486
1941,Afghanistan,13.569465713952923
1942,Afghanistan,12.874289019534842
1943,Afghanistan,12.656737042194607
1944,Afghanistan,13.397219495165814
1945,Afghanistan,12.791450606137573
1946,Afghanistan,13.474405601108742
1947,Afghanistan,12.857404777673025
1948,Afghanistan,13.023054828533304
1949,Afghanistan,13.558029767739242
1950,Afghanistan,12.438083133838575
1951,Afghanistan,13.703706643587054
1952,Afghanistan,12.796533466454662
1953,Afghanistan,12.860701313342304
1954,Afghanistan,12.96568822217381
1955,Afghanistan,13.339070465200678
1956,Afghanistan,12.175919390455817
1957,Afghanistan,12.42754363716449
1958,Afghanistan,13.477319190557296
1959,Afghanistan,12.773136888677925
1960,Afghanistan,12.919382845057783
1961,Afghanistan,12.824688549518044
1962,Afghanistan,12.154476942921804
1963,Afghanistan,13.024298627210271
1964,Afghanistan,10.89350664528098
1965,Afghanistan,11.460405490416008
1966,Afghanistan,12.60331904108699
1967,Afghanistan,12.685184951324402
1968,Afghanistan,12.450027000717853
1969,Afghanistan,12.36075198964619
1970,Afghanistan,12.478503467643293
1971,Afghanistan,13.005402669768898
1972,Afghanistan,12.672412882479989
1973,Afghanistan,12.936568672695842
1974,Afghanistan,13.129874825716456
1975,Afghanistan,12.081719158634314
1976,Afghanistan,12.469932801906907
1977,Afghanistan,12.991928247837166
1978,Afghanistan,12.944028668000271
1979,Afghanistan,12.951154094651827
1980,Afghanistan,12.079269720924628
1981,Afghanistan,13.70236610847553
1982,Afghanistan,12.236444255778565
1983,Afghanistan,12.394547125606096
1984,Afghanistan,13.54046005708068
1985,Afghanistan,13.140258611574154
1986,Afghanistan,12.32310320951376
1987,Afghanistan,12.9414485841707
1988,Afghanistan,12.818092808346364
1989,Afghanistan,13.646913176574799
1990,Afghanistan,13.876592697189835
1991,Afghanistan,13.424381426800096
1992,Afghanistan,12.700743519464083
1993,Afghanistan,13.129775244560221
1994,Afghanistan,13.242905708375531
1995,Afghanistan,12.621391142506297
1996,Afghanistan,13.457578738183656
1997,Afghanistan,13.212474496731772
1998,Afghanistan,12.756691237892085
1999,Afghanistan,14.2803476784307
2000,Afghanistan,12.999569356495442
2001,Afghanistan,13.573235660354783
2002,Afghanistan,13.437554487793875
2003,Afghanistan,13.698413079583418
2004,Afghanistan,14.129174285616614
2005,Afghanistan,13.963930444381674
2006,Afghanistan,14.927083298872219
2007,Afghanistan,14.700268442604226
2008,Afghanistan,14.150653507464824
2009,Afghanistan,13.373460906396645
2010,Afghanistan,13.69339505385068
2011,Afghanistan,13.206713012641671
2012,Afghanistan,13.900937966751314
2013,Afghanistan,13.837943770774075
2014,Afghanistan,14.501791330233118
1850,Albania,13.887173458692075
1851,Albania,15.822028009326061
1852,Albania,15.107051179214807
1853,Albania,14.875664241292782
1854,Albania,14.793555741503212
1855,Albania,14.863371590380382
1856,Albania,14.771018424808005
1857,Albania,14.070557212188419
1858,Albania,14.306722922322365
1859,Albania,14.509525282055222
1860,Albania,14.63312028525121
1861,Albania,15.16439926985504
1862,Albania,13.875443939232412
1863,Albania,14.505348193237069
1864,Albania,14.221303517983756
1865,Albania,15.459004262455949
1866,Albania,15.170874848096162
1867,Albania,15.214396516418049
1868,Albania,14.013796872128978
1869,Albania,14.749298729732232
1870,Albania,15.02349271849215
1871,Albania,14.81812047199287
1872,Albania,15.61579717399917
1873,Albania,15.812714376134352
1874,Albania,14.91490158807136
1875,Albania,15.363818727682371
1876,Albania,14.218107077535137
1877,Albania,14.96665731963759
1878,Albania,14.711993052470405
1879,Albania,14.812237379765008
1880,Albania,15.313578485856056
1881,Albania,14.305723995871631
1882,Albania,14.331939827279712
1883,Albania,15.568339266850444
1884,Albania,14.94665166599043
1885,Albania,14.513776866276942
1886,Albania,15.004326475394237
1887,Albania,15.561945155136812
1888,Albania,14.956232164945447
1889,Albania,15.013469823491562
1890,Albania,14.46077269159963
1891,Albania,15.18288839321508
1892,Albania,14.54465664953483
1893,Albania,15.040812731831693
1894,Albania,15.86905063447034
1895,Albania,14.634026896348473
1896,Albania,14.949193303304753
1897,Albania,14.790527807658691
1898,Albania,15.11322523158492
1899,Albania,14.795954745448057
1900,Albania,15.403541108151785
1901,Albania,14.578725182748656
1902,Albania,14.603731466897898
1903,Albania,14.313593028055777
1904,Albania,15.653604367893365
1905,Albania,14.280303373664538
1906,Albania,14.531264262877414
1907,Albania,15.427211966907294
1908,Albania,14.532693332200893
1909,Albania,14.665177022900593
1910,Albania,15.095519209728081
1911,Albania,15.126767956207516
1912,Albania,15.031026263666945
1913,Albania,15.152366364745546
1914,Albania,14.472260059594873
1915,Albania,14.683090177451732
1916,Albania,15.141680081741015
1917,Albania,14.492429469083106
1918,Albania,15.014429595182492
1919,Albania,15.418212262926318
1920,Albania,15.292056501637262
1921,Albania,15.475216915787655
1922,Albania,14.51469071297663
1923,Albania,16.311318091887586
1924,Albania,15.020341651234673
1925,Albania,15.1098778281887
1926,Albania,14.469248702990171
1927,Albania,15.296683780799867
1928,Albania,15.052714347708843
1929,Albania,14.238820712414395
1930,Albania,14.795243013756647
1931,Albania,14.640113023803735
1932,Albania,14.327465390480484
1933,Albania,15.028335731089669
1934,Albania,14.70257627981897
1935,Albania,15.229702273927387
1936,Albania,14.460737427119398
1937,Albania,15.695613148274788
1938,Albania,14.787273832562164
1939,Albania,15.166689954486287
1940,Albania,16.153106412876753
1941,Albania,14.83192770175117
1942,Albania,14.858937406584175
1943,Albania,14.122380057722182
1944,Albania,14.68753793890221
1945,Albania,14.180333304086219
1946,Albania,14.82421556348396
1947,Albania,15.18848494410804
1948,Albania,14.296672323481403
1949,Albania,14.356435612755718
1950,Albania,14.600000459791318
1951,Albania,14.864292478395043
1952,Albania,14.597461963213505
1953,Albania,14.831428952728743
1954,Albania,14.213226471721498
1955,Albania,14.143650404758773
1956,Albania,14.62546943854204
1957,Albania,14.278602294102143
1958,Albania,14.88472617576491
1959,Albania,14.398172102436092
1960,Albania,14.364119530149708
1961,Albania,14.007549324242348
1962,Albania,12.890527748472778
1963,Albania,14.16231277408599
1964,Albania,13.817994715848386
1965,Albania,14.844255489563864
1966,Albania,14.512699885211305
1967,Albania,14.406772134947744
1968,Albania,14.067493472039587
1969,Albania,14.956669899814415
1970,Albania,14.739062387256695
1971,Albania,14.617459039828304
1972,Albania,13.690561192335792
1973,Albania,14.950683728131025
1974,Albania,14.364952566117324
1975,Albania,14.252131078702462
1976,Albania,14.416867203954268
1977,Albania,13.9551954972452
1978,Albania,15.124842336399524
1979,Albania,14.177789419163503
1980,Albania,13.689917167868089
1981,Albania,14.458563058458935
1982,Albania,13.529827784545603
1983,Albania,14.829312268479953
1984,Albania,14.866736541747343
1985,Albania,14.062719215009679
1986,Albania,14.386925128377925
1987,Albania,15.720891375464703
1988,Albania,14.602074727559625
1989,Albania,14.228178470803243
1990,Albania,14.240500259396242
1991,Albania,13.435783398486933
1992,Albania,15.243335952197185
1993,Albania,14.915178076956238
1994,Albania,15.660619089191357
1995,Albania,14.849563168819259
1996,Albania,14.61719908025674
1997,Albania,15.535178042799998
1998,Albania,15.21554924888926
1999,Albania,14.738143682813813
